iter	Passed	Remaining
0	2	2352
1	3	1995
2	5	1860
3	7	1779
4	9	1795
5	10	1772
6	12	1793
7	14	1784
8	17	1872
9	19	1883
10	20	1873
11	22	1861
12	24	1850
13	26	1862
14	28	1860
15	29	1842
16	31	1834
17	33	1850
18	35	1850
19	37	1839
20	39	1850
21	41	1842
22	43	1840
23	45	1837
24	46	1824
25	48	1827
26	50	1825
27	52	1827
28	54	1823
29	56	1817
30	58	1836
31	60	1833
32	64	1883
33	66	1878
34	68	1875
35	69	1871
36	71	1863
37	73	1858
38	75	1865
39	77	1859
40	79	1862
41	81	1857
42	83	1854
43	85	1863
44	87	1861
45	89	1857
46	91	1855
47	94	1864
48	96	1878
49	98	1875
50	100	1872
51	102	1875
52	104	1868
53	106	1870
54	108	1869
55	110	1866
56	112	1860
57	113	1848
58	115	1839
59	118	1851
60	120	1851
61	123	1866
62	126	1881
63	127	1871
64	129	1861
65	130	1852
66	132	1844
67	134	1840
68	135	1833
69	137	1828
70	139	1830
71	142	1830
72	143	1823
73	145	1824
74	147	1818
75	149	1813
76	152	1832
77	154	1831
78	156	1826
79	158	1824
80	165	1882
81	167	1880
82	170	1888
83	172	1885
84	174	1882
85	176	1877
86	179	1879
87	180	1874
88	183	1875
89	185	1875
90	187	1872
91	189	1870
92	195	1908
93	197	1906
94	199	1900
95	200	1892
96	202	1884
97	205	1894
98	207	1891
99	209	1885
100	211	1878
101	212	1870
102	214	1869
103	216	1865
104	218	1863
105	220	1862
106	222	1859
107	224	1857
108	226	1851
109	228	1847
110	230	1848
111	232	1844
112	234	1840
113	236	1836
114	238	1833
115	240	1830
116	245	1852
117	247	1851
118	249	1850
119	252	1849
120	254	1846
121	256	1846
122	258	1840
123	260	1837
124	261	1833
125	264	1834
126	266	1831
127	268	1828
128	270	1826
129	272	1823
130	274	1818
131	275	1814
132	277	1812
133	280	1810
134	282	1808
135	284	1805
136	286	1805
137	289	1805
138	290	1800
139	292	1796
140	294	1791
141	295	1787
142	297	1785
143	300	1789
144	302	1784
145	304	1781
146	307	1783
147	308	1778
148	312	1786
149	314	1783
150	317	1784
151	319	1784
152	332	1841
153	334	1837
154	336	1835
155	339	1835
156	340	1829
157	342	1823
158	343	1818
159	345	1813
160	347	1811
161	350	1813
162	352	1810
163	354	1804
164	355	1799
165	357	1794
166	358	1788
167	360	1782
168	361	1777
169	364	1780
170	366	1776
171	368	1774
172	369	1768
173	371	1762
174	372	1756
175	374	1751
176	375	1746
177	377	1741
178	378	1735
179	379	1730
180	381	1725
181	382	1720
182	384	1718
183	386	1713
184	388	1713
185	390	1708
186	391	1703
187	393	1698
188	395	1696
189	397	1693
190	399	1690
191	400	1687
192	402	1683
193	404	1680
194	406	1680
195	408	1676
196	409	1669
197	411	1665
198	413	1663
199	414	1659
200	416	1657
201	418	1653
202	420	1651
203	423	1653
204	426	1653
205	428	1650
206	429	1646
207	431	1643
208	433	1641
209	435	1638
210	437	1636
211	443	1649
212	444	1644
213	449	1650
214	451	1647
215	452	1643
216	455	1641
217	457	1641
218	459	1639
219	461	1637
220	463	1632
221	465	1630
222	467	1627
223	469	1624
224	471	1622
225	473	1620
226	475	1617
227	476	1614
228	478	1610
229	489	1640
230	491	1635
231	492	1631
232	495	1629
233	497	1628
234	498	1623
235	499	1618
236	501	1615
237	503	1610
238	504	1607
239	506	1604
240	508	1602
241	510	1598
242	512	1596
243	514	1593
244	516	1591
245	518	1588
246	520	1586
247	523	1586
248	525	1584
249	527	1581
250	528	1578
251	530	1576
252	532	1572
253	534	1569
254	536	1567
